slide_name,permissible_angle,slide_height_um,slide_width_um,scanner_name,actual_angle,time_stamp,slide_id,load_identifier,offset_pos_x_um,offset_pos_y_um,row_index,col_index,row_col
H01CBA01P_104452,1.6309876592584434,74906.208,25623.0,H01CBA01P,-0.34497211079495677,2021-04-20T04:26:20,104452,CS002-3-1618844710876,137.5,3487.5,0,22,"0,22"
H01CBA03P_104616,2.0106131288002738,74790.612,25545.0,H01CBA03P,-0.2512758676546632,2021-04-20T04:28:39,104616,CS002-2-1618844710875,168.75,1662.5,2,6,"2,6"
H01CBA01P_104453,1.6276377065167835,75060.336,25623.0,H01CBA01P,-0.09388958815934591,2021-04-20T04:32:45,104453,CS002-3-1618844710876,175.0,3450.0,0,23,"0,23"
H01CBA03P_104617,1.9123871101027785,74944.74,25662.0,H01CBA03P,-0.5328690716830115,2021-04-20T04:33:42,104617,CS002-2-1618844710875,481.25,1706.25,2,7,"2,7"
H01CBA01P_104448,1.6318273034595188,74867.67599999999,25623.0,H01CBA01P,-0.4392830310867981,2021-04-20T04:01:46,104448,CS002-3-1618844710876,100.0,3331.25,0,18,"0,18"
H01CBA03P_104612,2.1264684612573763,75137.4,25350.0,H01CBA03P,0.09379329105978677,2021-04-20T04:05:33,104612,CS002-2-1618844710875,675.0,1900.0,2,2,"2,2"
H01CBA01P_104449,1.597969851346717,74983.272,25662.0,H01CBA01P,-0.25063024208316403,2021-04-20T04:08:10,104449,CS002-3-1618844710876,56.25,3256.25,0,19,"0,19"
H01CBA03P_104613,2.066017705039065,75060.336,25428.0,H01CBA03P,0.06259304320993739,2021-04-20T04:10:11,104613,CS002-2-1618844710875,562.5,1862.5,2,3,"2,3"
H01CBA01P_104454,1.4741254675208448,74906.208,25818.0,H01CBA01P,0.5017809982604461,2021-04-20T04:38:54,104454,CS002-3-1618844710876,412.5,3375.0,0,24,"0,24"
H01CBA03P_104618,1.9781651449390096,74829.144,25584.0,H01CBA03P,-0.5650869238484361,2021-04-20T04:39:32,104618,CS002-2-1618844710875,600.0,1781.25,2,8,"2,8"
H01CBA01P_104450,1.666649381804744,74713.548,25584.0,H01CBA01P,-0.22009300322873135,2021-04-20T04:15:21,104450,CS002-3-1618844710876,568.75,3487.5,0,20,"0,20"
H01CBA03P_104614,1.6572451397243082,75137.4,25974.0,H01CBA03P,-0.5627685438106058,2021-04-20T04:16:00,104614,CS002-2-1618844710875,56.25,1975.0,2,4,"2,4"
H01CBA03P_104621,2.1588623738962407,75098.868,25311.0,H01CBA03P,-0.3128061304197412,2021-04-20T05:31:41,104621,CS002-2-1618844710875,-62.5,1662.5,2,11,"2,11"
H01CBA03P_104620,2.1330346646257983,74906.208,25350.0,H01CBA03P,-0.5331431891972831,2021-04-20T05:13:38,104620,CS002-2-1618844710875,-25.0,1706.25,2,10,"2,10"
H01CBA01P_104451,1.5889855953658696,75407.124,25662.0,H01CBA01P,0.06230518546264444,2021-04-20T04:21:21,104451,CS002-3-1618844710876,331.25,3412.5,0,21,"0,21"
H01CBA03P_104619,2.034701139355505,75060.336,25506.0,H01CBA03P,0.06259304320993739,2021-04-20T04:45:48,104619,CS002-2-1618844710875,406.25,1625.0,2,9,"2,9"
H01CBA03P_104619,1.7224518611972321,75021.804,25896.0,H01CBA03P,-0.34444056030223025,2021-04-20T05:06:46,104619,CS002-2-1618844710875,168.75,1781.25,2,9,"2,9"
H01CBA03P_104621,2.0961604825943416,73981.44,25428.0,H01CBA03P,-0.8573609137413868,2021-04-20T06:04:10,104621,CS002-2-1618844710875,-143.75,1862.5,2,11,"2,11"
H01CBA03P_104621,1.7475917809964374,73942.908,25896.0,H01CBA03P,-0.8895808858468965,2021-04-20T06:08:57,104621,CS002-2-1618844710875,12.5,1781.25,2,11,"2,11"
H01CBA03P_104621,2.032613390035289,73981.44,25545.0,H01CBA03P,-0.6985816118985393,2021-04-20T06:11:10,104621,CS002-2-1618844710875,-412.5,1662.5,2,11,"2,11"
H01CBA03P_104621,2.0961604825943416,73981.44,25467.0,H01CBA03P,-1.270220963087955,2021-04-20T06:12:59,104621,CS002-2-1618844710875,-493.75,1862.5,2,11,"2,11"
H01CBA03P_104621,2.129044378919758,73942.908,25389.0,H01CBA03P,-0.9213543233288308,2021-04-20T06:13:45,104621,CS002-2-1618844710875,-62.5,1781.25,2,11,"2,11"
