date,slide_name,blob_index,x_position,y_position,stack_size,reference_z,best_z,z_difference,best_index,focus_metric,color_metric,process_time,capture_status,Biopsy,Debris,Background
2021-04-16,H01CBA03P_29,6,16762.5,43175.0,47,6908.125,6904.375,3.75,21,22.00770118453653,38.57659687154665,1.812615156173706,1,True,False,False
2021-04-16,H01CBA03P_29,7,18325.0,48162.5,47,6904.375,6900.625,3.75,21,16.23614788039236,9.837024082313194,1.5918676853179932,1,True,False,False
2021-04-16,H01CBA03P_29,8,8406.25,46500.0,47,6904.375,6910.0,-5.625,26,21.532912466483385,15.600386406561737,1.8689923286437988,1,True,False,False
2021-04-16,H01CBA03P_29,9,6550.0,37650.0,47,6910.0,6915.625,-5.625,26,24.830363506771203,15.443468773612988,1.837475061416626,1,True,False,False
2021-04-16,H01CBA03P_29,10,6218.75,27756.25,47,6915.625,6921.25,-5.625,26,25.401181142449854,17.056851003238013,1.8051526546478271,1,True,False,False
2021-04-16,H01CBA02P_100010,0,21731.25,11350.0,37,6610.0,6613.75,-3.75,20,21.245856579906764,57.738984343622604,3.6994285583496094,1,True,False,False
2021-04-16,H01CBA02P_100010,1,23837.5,19118.75,37,6613.75,6613.75,0.0,18,30.238033883436593,76.33030185115156,2.1187472343444824,1,True,False,False
2021-04-16,H01CBA02P_100010,2,7668.75,27606.25,37,6603.75,6607.5,-3.75,20,38.23906361368497,40.94335984437866,2.1883010864257812,1,True,False,False
2021-04-16,H01CBA02P_100010,3,24887.5,35337.5,69,6607.5,6605.625,1.875,33,40.789791716163776,43.40767880041394,2.2845542430877686,1,True,False,False
2021-04-16,H01CBA02P_100010,4,16593.75,43406.25,69,6605.625,6598.125,7.5,30,37.224186267521986,58.0151367832731,2.31067156791687,1,True,False,False
2021-04-16,H01CBA02P_100010,5,8675.0,41600.0,69,6598.125,6601.875,-3.75,36,12.24889647497218,11.425128501253987,2.2009904384613037,1,True,False,False
2021-04-16,H01CBA02P_100010,6,6612.5,40550.0,69,6601.875,6564.375,37.5,14,10.065672764710541,18.389317601482563,1.8980844020843506,1,True,False,False
2021-04-16,H01CBA02P_100010,7,7206.25,48112.5,69,6601.875,6590.625,11.25,28,35.14197196483726,43.061345962730066,2.266904354095459,1,True,False,False
2021-04-16,H01CBA02P_100010,8,23918.75,9750.0,69,6613.75,6617.5,-3.75,36,7.988946588376385,13.282763529355126,3.7395925521850586,1,True,False,False
2021-04-16,H01CBA03P_30,0,16968.75,20531.25,25,7080.0,7083.75,-3.75,14,34.369781840034655,16.43771078188121,3.185044288635254,1,True,False,False
2021-04-16,H01CBA03P_30,1,13181.25,32831.25,25,7083.75,7083.75,0.0,12,36.587574245664044,24.790294221100282,2.480027437210083,1,True,False,False
2021-04-16,H01CBA02P_99999,0,10656.25,17062.5,37,6560.0,6558.125,1.875,17,55.92653497607168,79.90568306010685,3.6436049938201904,1,True,False,False
2021-04-16,H01CBA02P_99999,1,12131.25,29962.5,37,6548.125,6561.25,-13.125,25,9.96979590585458,37.82478855911328,2.4969944953918457,1,True,False,False
2021-04-16,H01CBA02P_99999,2,11837.5,33406.25,37,6551.25,6556.875,-5.625,21,17.393078051138364,44.35135726558123,1.8685617446899414,1,True,False,False
