red_green_ratio,blue_green_ratio,mean_red_intensity,mean_blue_intensity,mean_green_intensity,mean_rgb_intensity,center_boundary_radius_threshold,profile_analyzer_threshold,centring_coordinate_x,centring_coordinate_y,centring_x_difference,centring_y_difference,centring_status,_source.data.scanner_name,_source.data.time_stamp
1.001540783,1.014150174,246.8101667,249.9175049,246.4304708,247.7193808,200,2,1033.395031,573.0358697,65.39503135,-36.77157208,TRUE,H01CBA05P,2021-04-24T19:05:18
1.001542446,1.014049891,246.8773902,249.9604401,246.4971816,247.7783373,200,2,1031.683041,572.770821,63.68304149,-34.52457547,TRUE,H01CBA05P,2021-04-24T19:05:18
1.001581315,1.013872805,246.9355605,249.9659745,246.5456941,247.815743,200,2,1028.278485,569.0142776,60.27848474,-39.51279059,TRUE,H01CBA05P,2021-04-24T19:05:18
1.001606832,1.013861119,246.8299312,249.8498035,246.4339531,247.7045626,200,2,1024.241683,566.9559459,56.24168344,-36.76016042,TRUE,H01CBA05P,2021-04-24T19:05:18
1.001615016,1.013796733,246.8802592,249.8828354,246.4821865,247.7484271,200,2,1023.128402,565.2581959,55.1284016,-34.74146057,TRUE,H01CBA05P,2021-04-24T19:05:18
1.001617445,1.013677047,246.8704188,249.84277,246.4717642,247.7283177,200,2,1020.351384,563.9046787,52.35138368,-36.45834364,TRUE,H01CBA05P,2021-04-24T19:05:18
1.001665049,1.01354933,246.9472448,249.877157,246.5367492,247.7870503,200,2,1020.354541,558.5225747,52.35454079,-38.26733236,TRUE,H01CBA05P,2021-04-24T19:05:18
1.001671985,1.013471441,246.9115669,249.820126,246.4994236,247.7437055,200,2,1018.851757,553.223637,50.85175743,-36.00159189,TRUE,H01CBA05P,2021-04-24T19:05:18
1.001650397,1.013343966,246.8899522,249.7722201,246.4831572,247.7151098,200,2,1018.056972,546.5328353,50.05697187,-35.86498833,TRUE,H01CBA05P,2021-04-24T19:05:18
1.001644516,1.01322103,246.8681173,249.7212974,246.4628052,247.6840733,200,2,1016.368668,545.0925723,48.36866817,-37.37037861,TRUE,H01CBA05P,2021-04-24T19:05:18
1.001618274,1.013077684,246.9034877,249.7282845,246.5045757,247.712116,200,2,1015.558652,539.1609913,47.55865162,-37.47399784,TRUE,H01CBA05P,2021-04-24T19:05:18
1.001613836,1.012998996,246.7928914,249.5981409,246.39525,247.5954274,200,2,1014.689683,535.9358539,46.68968269,-38.19006589,TRUE,H01CBA05P,2021-04-24T19:05:18
1.001628399,1.012860788,246.882098,249.6506655,246.4807291,247.6711642,200,2,1015.619598,536.1333005,47.61959785,-38.73482646,TRUE,H01CBA05P,2021-04-24T19:05:18
1.001615483,1.012768783,246.8503846,249.5991404,246.4522453,247.6339234,200,2,1015.226461,534.0219967,47.22646135,-38.55965358,TRUE,H01CBA05P,2021-04-24T19:05:18
1.001634269,1.012745125,246.7293346,249.4662357,246.3267704,247.5074469,200,2,1014.877362,531.9301593,46.87736185,-40.09237314,TRUE,H01CBA05P,2021-04-24T19:05:18
1.001610564,1.012633643,246.7806608,249.4965695,246.3838439,247.5536914,200,2,1015.026423,513.4636056,47.02642295,-41.6510981,TRUE,H01CBA05P,2021-04-24T19:05:18
1.001623154,1.012558182,246.7519225,249.4457891,246.3520552,247.516589,200,2,1016.463914,514.9317947,48.46391432,-40.65244645,TRUE,H01CBA05P,2021-04-24T19:05:18
1.001632394,1.012512992,246.583069,249.2616678,246.1812044,247.3419804,200,2,1016.663696,512.9099778,48.66369558,-41.96672588,TRUE,H01CBA05P,2021-04-24T19:05:18
1.001640003,1.012430519,246.6598831,249.3171127,246.2560225,247.4110061,200,2,1018.234521,512.7830181,50.23452069,-43.3179409,TRUE,H01CBA05P,2021-04-24T19:05:18
1.001644159,1.01232072,246.6869401,249.316385,246.2820133,247.4284462,200,2,1019.919714,517.2082749,51.91971428,-46.68803949,TRUE,H01CBA05P,2021-04-24T19:05:18
1.001638369,1.012290683,246.507858,249.1294419,246.1046477,247.2473158,200,2,1021.193641,518.2864708,53.19364081,-49.47805674,TRUE,H01CBA05P,2021-04-24T19:05:18
1.001630983,1.012180134,246.4959277,249.0920161,246.0945516,247.2274984,200,2,1022.715545,517.3842585,54.71554537,-50.29354775,TRUE,H01CBA05P,2021-04-24T19:05:18
1.001678261,1.012007962,246.6514887,249.1950559,246.2382366,247.3615938,200,2,1024.831978,519.621009,56.83197828,-54.59095271,TRUE,H01CBA05P,2021-04-24T19:05:18
1.001655568,1.011924447,246.5006945,249.0277966,246.0932704,247.2072538,200,2,1027.436751,523.8392375,59.43675133,-58.5189746,TRUE,H01CBA05P,2021-04-24T19:05:18
1.001665217,1.011893605,246.3736726,248.8894887,245.9640889,247.0757501,200,2,1029.120183,523.6250102,61.12018259,-62.72015111,TRUE,H01CBA05P,2021-04-24T19:05:18
1.001677733,1.011780287,246.3808012,248.8657076,245.9681324,247.071547,200,2,1031.697414,524.6422648,63.69741397,-65.88907554,TRUE,H01CBA05P,2021-04-24T19:05:18
1.001705118,1.011664723,246.4203968,248.8704689,246.0009362,247.0972673,200,2,1033.184672,524.047062,65.18467162,-69.30705623,TRUE,H01CBA05P,2021-04-24T19:05:18
1.001688104,1.011559762,246.211542,248.6379621,245.7966116,246.8820386,200,2,1033.082513,524.8546024,65.08251337,-73.37094729,TRUE,H01CBA05P,2021-04-24T19:05:18
1.00172471,1.01147329,246.1574203,248.5529739,245.7336011,246.8146651,200,2,1032.0997,522.1242926,64.09969997,-77.37415643,TRUE,H01CBA05P,2021-04-24T19:05:18
1.001702725,1.011323548,246.2692891,248.6345749,245.850673,246.918179,200,2,1032.065928,523.6828743,64.06592809,-78.21588379,TRUE,H01CBA05P,2021-04-24T19:05:18
