red_green_ratio,blue_green_ratio,mean_red_intensity,mean_blue_intensity,mean_green_intensity,mean_rgb_intensity,center_boundary_radius_threshold,profile_analyzer_threshold,centring_coordinate_x,centring_coordinate_y,centring_x_difference,centring_y_difference,centring_status,_source.data.scanner_name,_source.data.time_stamp
0.992802031,1.009053197,222.7239624,226.3697285,224.3387457,224.4774789,200,2,989.1008026,656.0157301,21.10080257,-37.19069021,TRUE,H01CBA01P,2021-04-19T13:26:43
0.992800815,1.008960487,222.7388403,226.3643275,224.3540062,224.4857247,200,2,987.9094752,647.9886621,19.90947517,-27.47234942,TRUE,H01CBA01P,2021-04-19T13:26:43
0.992835185,1.008819213,222.7909523,226.3777479,224.3987276,224.5224759,200,2,986.5083179,644.9475317,18.50831793,-11.42837338,TRUE,H01CBA01P,2021-04-19T13:26:43
0.992853768,1.008684421,222.8154751,226.3681781,224.4192269,224.5342934,200,2,985.0663242,635.0420819,17.06632418,-1.120792992,TRUE,H01CBA01P,2021-04-19T13:26:43
0.992866795,1.008562676,222.8437674,226.3666259,224.4447781,224.5517238,200,2,983.5744089,637.2341588,15.5744089,17.48539638,TRUE,H01CBA01P,2021-04-19T13:26:43
0.99287777,1.008421097,222.8879884,226.3772607,224.4868353,224.5840281,200,2,984.9340898,630.3681288,16.93408977,23.43592525,TRUE,H01CBA01P,2021-04-19T13:26:43
0.992883591,1.008317226,222.9382166,226.4036249,224.5361073,224.6259829,200,2,981.9988957,623.5986146,13.99889568,32.01894326,TRUE,H01CBA01P,2021-04-19T13:26:43
0.992885968,1.008216929,222.9255026,226.3676522,224.5227647,224.6053065,200,2,979.5788726,622.5163992,11.57887262,46.13458597,TRUE,H01CBA01P,2021-04-19T13:26:43
0.992847718,1.008082488,222.9844272,226.4060159,224.5907638,224.6604023,200,2,972.8285845,618.3952935,4.828584506,54.09062822,TRUE,H01CBA01P,2021-04-19T13:26:43
0.992794789,1.007947189,222.977949,226.3811206,224.596212,224.6517605,200,2,959.3844492,611.6314444,-8.615550756,75.64146868,TRUE,H01CBA01P,2021-04-19T13:26:43
0.992779504,1.007808167,222.977503,226.352929,224.5992207,224.6432176,200,2,950.4245423,599.1109601,-17.57545769,66.88306119,TRUE,H01CBA01P,2021-04-19T13:26:43
0.992794864,1.00768129,223.025815,226.3699672,224.6444085,224.6800636,200,2,936.3478805,596.2573395,-31.65211948,68.06921839,TRUE,H01CBA01P,2021-04-19T13:26:43
0.992764661,1.007559759,223.0186108,226.3422408,224.6439863,224.6682793,200,2,925.8242374,580.673776,-42.17576261,74.77609463,TRUE,H01CBA01P,2021-04-19T13:26:43
0.992766377,1.007460713,223.0176346,226.3186087,224.6426147,224.6596193,200,2,911.6561128,572.8060435,-56.34388722,72.00092443,TRUE,H01CBA01P,2021-04-19T13:26:43
0.992769691,1.007373087,223.0061852,226.2865508,224.6303318,224.6410226,200,2,899.9455801,560.5487712,-68.05441989,74.83342541,TRUE,H01CBA01P,2021-04-19T13:26:43
0.992808393,1.007316093,223.0529404,226.3123662,224.6686692,224.6779919,200,2,892.4863927,550.7423112,-75.51360726,82.20917823,TRUE,H01CBA01P,2021-04-19T13:26:43
0.992813314,1.007209621,223.0131868,226.2469934,224.6275143,224.6292315,200,2,908.3805284,547.3062526,-59.61947158,87.02658127,TRUE,H01CBA01P,2021-04-19T13:26:43
0.992825113,1.007092803,223.0102741,226.2151101,224.621911,224.6157651,200,2,904.136972,537.7367037,-63.86302797,97.67375517,TRUE,H01CBA01P,2021-04-19T13:26:43
0.992840867,1.006989995,223.0640704,226.2429908,224.6725309,224.659864,200,2,880.6476632,538.4597325,-87.35233676,106.5349685,TRUE,H01CBA01P,2021-04-19T13:26:43
0.992842381,1.006847568,223.0694693,226.2161215,224.6776261,224.6544056,200,2,900.4942762,538.9726516,-67.50572378,117.4976305,TRUE,H01CBA01P,2021-04-19T13:26:43
0.992826507,1.006683086,223.0208859,226.133521,224.6322841,224.5955637,200,2,899.9107809,549.6605007,-68.08921908,123.2442499,TRUE,H01CBA01P,2021-04-19T13:26:43
0.992834869,1.006537049,223.0357887,226.1139205,224.6454025,224.5983706,200,2,884.020091,535.4433696,-83.97990902,138.4268385,TRUE,H01CBA01P,2021-04-19T13:26:43
