red_green_ratio,blue_green_ratio,mean_red_intensity,mean_blue_intensity,mean_green_intensity,mean_rgb_intensity,center_boundary_radius_threshold,profile_analyzer_threshold,centring_coordinate_x,centring_coordinate_y,centring_x_difference,centring_y_difference,centring_status,_source.data.scanner_name,_source.data.time_stamp
1.001468546,1.008198698,249.0694731,250.7432906,248.7042396,249.5056678,200,2,1006.093386,566.7086259,38.0933857,-30.580958,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001458478,1.008087228,249.1636704,250.8129086,248.8007999,249.5924597,200,2,1005.3139,562.8873777,37.31389969,-28.75716372,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001481782,1.008018661,249.0770469,250.7028243,248.708515,249.4961287,200,2,1006.739954,562.8253886,38.73995393,-38.51840748,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001515754,1.007990509,249.0162927,250.626172,248.6394165,249.4272937,200,2,1006.934833,562.7524929,38.9348329,-38.08739921,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001513536,1.007918217,249.0660983,250.6588764,248.6896974,249.4715574,200,2,1007.671887,560.3209248,39.67188686,-33.10191867,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001555699,1.007823659,249.1240659,250.6831401,248.7371059,249.5147706,200,2,1006.792592,557.2138267,38.79259216,-37.47789412,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001584909,1.007759179,249.1029562,250.6385512,248.7087754,249.4834276,200,2,1007.030629,554.0675008,39.03062866,-38.56279142,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001608116,1.007683542,249.0794235,250.5902575,248.679518,249.449733,200,2,1006.039596,554.5623539,38.03959554,-37.71582005,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001605085,1.007581405,249.0486306,250.5346397,248.6495271,249.4109325,200,2,1004.859216,551.392487,36.85921605,-39.1828361,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001632967,1.007497351,249.0463852,250.5045077,248.6403638,249.3970856,200,2,1003.934549,549.6806809,35.93454939,-39.39437278,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001608013,1.007405216,248.9670573,250.4080528,248.5673578,249.3141559,200,2,1002.623669,549.5095662,34.62366898,-40.53592002,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001588602,1.007229187,249.0874128,250.490183,248.6923395,249.4233117,200,2,1002.050375,544.9522923,34.05037491,-40.96539024,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001575521,1.007134534,248.994678,250.3766651,248.6029987,249.3247806,200,2,1001.574915,547.5313181,33.57491462,-41.12221624,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001551049,1.007040883,248.9538335,250.318432,248.5682918,249.2801858,200,2,1000.490049,546.3953635,32.49004902,-42.21285585,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001570408,1.006880923,249.0740386,250.3946761,248.6835041,249.384073,200,2,1000.38578,544.2034941,32.38578038,-42.64925531,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001553191,1.006879958,248.9661567,250.290285,248.5800645,249.2788354,200,2,999.5948567,542.9978945,31.59485675,-43.11919708,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001561003,1.006766533,249.041403,250.3357748,248.6532545,249.3434774,200,2,1000.11918,543.7387198,32.11917994,-44.24931842,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001577722,1.006729403,248.9289565,250.2093391,248.5368345,249.2250434,200,2,999.2472746,542.0495831,31.24727464,-44.89399763,TRUE,H01CBA05P,2021-04-22T23:25:32
1.00156363,1.006680482,248.8870955,250.1586258,248.4985358,249.181419,200,2,999.3992736,539.6302558,31.39927356,-44.98872812,TRUE,H01CBA05P,2021-04-22T23:25:32
1.00158666,1.006603807,248.8902312,250.1369719,248.4959527,249.1743853,200,2,999.1289348,539.3145453,31.12893479,-46.82746778,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001598523,1.006552923,248.7776122,250.0081889,248.3805701,249.0554571,200,2,999.4193763,537.170884,31.41937628,-47.20820172,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001590093,1.006469912,248.7713064,249.9833381,248.3763648,249.0436698,200,2,999.4393694,538.0168027,31.43936941,-46.59083956,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001610044,1.006382519,248.7163135,249.9013978,248.3165129,248.9780747,200,2,1000.272136,536.4570236,32.27213584,-47.42407991,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001617594,1.006283632,248.6179508,249.7761382,248.2164375,248.8701755,200,2,1002.353296,534.613409,34.35329602,-48.3128489,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001626205,1.006141001,248.773336,249.8946731,248.3694363,249.0124818,200,2,1002.221535,535.9118002,34.22153535,-47.14992894,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001651633,1.006086129,248.6529491,249.7537814,248.2429428,248.8832244,200,2,1003.158824,533.8767662,35.15882429,-49.62517111,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001654232,1.005966942,248.6768886,249.747589,248.2661989,248.8968922,200,2,1004.474345,532.0040204,36.47434461,-50.62965247,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001651466,1.005846556,248.647424,249.6888024,248.2374682,248.8578982,200,2,1006.140405,532.9908933,38.14040544,-51.34419775,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001680282,1.005770813,248.6262132,249.6415204,248.2091517,248.8256284,200,2,1006.119748,532.1626205,38.11974821,-51.79036084,TRUE,H01CBA05P,2021-04-22T23:25:32
1.00167418,1.005642331,248.5191906,249.5037041,248.1038202,248.7089049,200,2,1008.626976,533.6811206,40.62697581,-54.91854654,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001691286,1.005546828,248.5899835,249.5468143,248.1702566,248.7690181,200,2,1008.389921,532.7444694,40.38992058,-54.92608308,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001679697,1.005459638,248.4735729,249.4112135,248.0569125,248.647233,200,2,1010.061797,533.6663489,42.06179677,-58.41441655,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001710322,1.005377735,248.3714399,249.2807653,247.9473701,248.5331918,200,2,1011.648695,535.4926673,43.64869549,-61.81885424,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001696357,1.005256385,248.3475917,249.230219,247.9270191,248.5016099,200,2,1011.419041,537.4707482,43.41904123,-63.80269841,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001729546,1.005165799,248.2880108,249.1397181,247.8593266,248.4290185,200,2,1011.930484,536.8630135,43.93048423,-66.54283246,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001720457,1.005055291,248.1323015,248.9583604,247.7061337,248.2655985,200,2,1013.92636,541.4571675,45.92636042,-71.1369865,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001729949,1.004950921,248.1720441,248.9700188,247.7434606,248.2951745,200,2,1013.536787,544.1973016,45.5367872,-70.52925184,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001749105,1.004824696,248.0978041,248.859519,247.6646126,248.2073119,200,2,1014.331791,546.1811458,46.33179141,-72.50733266,TRUE,H01CBA05P,2021-04-22T23:25:32
1.00173128,1.004712754,248.027311,248.7655201,247.5986485,248.1304932,200,2,1015.373053,549.5855835,47.37305326,-74.33365115,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001747135,1.004593033,247.9652082,248.6696611,247.532735,248.0558681,200,2,1015.952978,553.0739169,47.95297787,-75.25553057,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001775529,1.004485483,248.0230195,248.6939592,247.5834279,248.1001355,200,2,1015.961466,553.0814535,47.96146563,-74.3188794,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001761585,1.004349955,247.8892096,248.5297102,247.4532996,247.9574065,200,2,1016.869451,556.2096392,48.86945143,-75.83737946,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001759258,1.004239004,247.7879547,248.4013268,247.3527973,247.8473596,200,2,1017.487929,556.6558022,49.48792876,-75.00910673,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001761105,1.00409491,247.6603848,248.2373595,247.2249955,247.7075799,200,2,1019.117292,557.3703475,51.11729172,-75.99597962,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001788801,1.003957125,247.630545,248.1665296,247.1883742,247.6618163,200,2,1020.721725,558.3748289,52.72172495,-74.12323379,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001806225,1.003835152,247.6137281,248.1152123,247.1672883,247.6320762,200,2,1021.340336,560.8500711,53.34033624,-72.08819977,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001797063,1.003695173,247.428973,247.8977778,246.9851252,247.437292,200,2,1022.094485,559.6871511,54.09448515,-73.38659103,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001787865,1.003558774,247.3346644,247.77189,246.8932527,247.3332691,200,2,1023.741894,560.5759201,55.7418939,-71.54297639,TRUE,H01CBA05P,2021-04-22T23:25:32
1.00181903,1.003432102,247.3393192,247.737571,246.8902185,247.3223696,200,2,1024.163198,561.4091604,56.163198,-69.98319725,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001836278,1.00330657,247.2343822,247.5972226,246.7812232,247.204276,200,2,1024.312855,560.7917983,56.31285483,-70.82911598,TRUE,H01CBA05P,2021-04-22T23:25:32
1.0018285,1.003164754,247.1826287,247.5123245,246.7314801,247.1421444,200,2,1025.230465,561.1725322,57.23046538,-68.68545472,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001831016,1.002995517,247.0952881,247.382505,246.6436796,247.0404909,200,2,1026.74343,563.0112719,58.7434299,-68.36974417,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001820712,1.00286166,247.0352586,247.2919421,246.586296,246.9711656,200,2,1027.247396,563.1060024,59.24739556,-65.95041692,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001848352,1.002720341,247.0192794,247.2342803,246.5635433,246.9390343,200,2,1028.557673,563.7506816,60.55767343,-64.26128024,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001822544,1.00257535,246.8574363,247.0429339,246.4083463,246.7695722,200,2,1029.525532,564.8808029,61.52553181,-65.00210553,TRUE,H01CBA05P,2021-04-22T23:25:32
1.001836873,1.002399153,246.7754187,246.913921,246.3229546,246.6707648,200,2,1030.255231,565.3507447,62.25523065,-63.79650592,TRUE,H01CBA05P,2021-04-22T23:25:32
