index,type,id,score,first_status,first_read_angle,first_initial_current,first_final_current,first_current_diff,second_status,second_read_angle,second_inital_current,second_final_current,second_current_diff,cluster_name,scanner_name,u_id,load_identifier,row_index,col_index,time_stamp,first_lock_step_counter,slide_id,date,slide_name
slide_locking,_doc,zq4o8HgBzeCE_yDUSmMb,1.0,True,1999,210.0,250.0,40.0,False,0.0,0.0,0.0,0.0,CS002,H01CBA01P,,CS002-3-1618913997119,0,27,2021-04-20T16:41:15,,105057,2021-04-20,H01CBA01P105057
slide_locking,_doc,-a4s8HgBzeCE_yDUjYjh,1.0,True,1999,190.0,250.0,60.0,False,0.0,0.0,0.0,0.0,CS002,H01CBA03P,,CS002-2-1618913997118,0,24,2021-04-20T16:45:55,,105174,2021-04-20,H01CBA03P105174
slide_locking,_doc,lq4t8HgBzeCE_yDUhpLd,1.0,True,1999,210.0,240.0,30.0,False,0.0,0.0,0.0,0.0,CS002,H01CBA01P,,CS002-3-1618913997119,0,28,2021-04-20T16:46:58,,105058,2021-04-20,H01CBA01P105058
slide_locking,_doc,EK4x8HgBzeCE_yDUTL4T,1.0,True,1999,210.0,250.0,40.0,False,0.0,0.0,0.0,0.0,CS002,H01CBA03P,,CS002-2-1618913997118,0,25,2021-04-20T16:51:05,,105175,2021-04-20,H01CBA03P105175
slide_locking,_doc,x6418HgBzeCE_yDULeYb,1.0,True,1999,210.0,250.0,40.0,False,0.0,0.0,0.0,0.0,CS002,H01CBA01P,,CS002-3-1618913997119,0,29,2021-04-20T16:55:20,,105059,2021-04-20,H01CBA01P105059
slide_locking,_doc,Xa428HgBzeCE_yDUFfL6,1.0,True,1999,210.0,250.0,40.0,False,0.0,0.0,0.0,0.0,CS002,H01CBA03P,,CS002-2-1618913997118,0,26,2021-04-20T16:56:19,,105176,2021-04-20,H01CBA03P105176
slide_locking,_doc,7a0M8HgBzeCE_yDU6F62,1.0,True,1999,230.0,260.0,30.0,False,0.0,0.0,0.0,0.0,CS002,H01CBA01P,,CS002-3-1618913997119,0,23,2021-04-20T16:11:21,,105053,2021-04-20,H01CBA01P105053
slide_locking,_doc,ma0N8HgBzeCE_yDUbGW-,1.0,True,1999,190.0,250.0,60.0,False,0.0,0.0,0.0,0.0,CS002,H01CBA03P,,CS002-2-1618913997118,0,19,2021-04-20T16:11:54,,105169,2021-04-20,H01CBA03P105169
slide_locking,_doc,Hq0Q8HgBzeCE_yDUDYYV,1.0,True,1999,210.0,250.0,40.0,False,0.0,0.0,0.0,0.0,CS002,H01CBA01P,,CS002-3-1618913997119,0,24,2021-04-20T16:14:47,,105054,2021-04-20,H01CBA01P105054
slide_locking,_doc,4q0T8HgBzeCE_yDUF6Vt,1.0,True,1999,190.0,240.0,50.0,False,0.0,0.0,0.0,0.0,CS002,H01CBA03P,,CS002-2-1618913997118,0,20,2021-04-20T16:18:06,,105170,2021-04-20,H01CBA03P105170
slide_locking,_doc,ZK0X8HgBzeCE_yDUktVA,1.0,True,1999,220.0,250.0,30.0,False,0.0,0.0,0.0,0.0,CS002,H01CBA03P,,CS002-2-1618913997118,0,21,2021-04-20T16:22:59,,105171,2021-04-20,H01CBA03P105171
slide_locking,_doc,XqwC8HgBzeCE_yDUiuEf,1.0,True,1999,210.0,240.0,30.0,False,0.0,0.0,0.0,0.0,CS002,H01CBA01P,,CS002-3-1618913997119,0,21,2021-04-20T16:00:01,,105051,2021-04-20,H01CBA01P105051
slide_locking,_doc,Jq0G8HgBzeCE_yDU2SCi,1.0,True,1999,200.0,240.0,40.0,False,0.0,0.0,0.0,0.0,CS002,H01CBA01P,,CS002-3-1618913997119,0,22,2021-04-20T16:04:44,,105052,2021-04-20,H01CBA01P105052
