red_green_ratio,blue_green_ratio,mean_red_intensity,mean_blue_intensity,mean_green_intensity,mean_rgb_intensity,center_boundary_radius_threshold,profile_analyzer_threshold,centring_coordinate_x,centring_coordinate_y,centring_x_difference,centring_y_difference,centring_status,_source.data.scanner_name,_source.data.time_stamp
1.00214345,1.013750271,247.2463805,250.1099871,246.7175538,248.0246405,200,2,1037.755314,562.3781568,69.75531383,-42.05685386,TRUE,H01CBA05P,2021-04-25T15:36:35
1.002098515,1.013712538,247.199977,250.064951,246.6823105,247.9824128,200,2,1035.790788,560.0450631,67.7907878,-40.4110575,TRUE,H01CBA05P,2021-04-25T15:36:35
1.002157843,1.013606506,247.1694368,249.9931033,246.6372323,247.9332575,200,2,1032.571641,563.4589615,64.57164132,-45.7343345,TRUE,H01CBA05P,2021-04-25T15:36:35
1.002174483,1.01344467,247.2564477,250.0370278,246.7199593,248.0044783,200,2,1030.818848,561.9796269,62.81884767,-45.10643139,TRUE,H01CBA05P,2021-04-25T15:36:35
1.00218841,1.01343083,247.2152711,249.9885,246.675444,247.9597384,200,2,1028.288131,561.6035039,60.2881308,-39.32106159,TRUE,H01CBA05P,2021-04-25T15:36:35
1.00221989,1.0133865,247.1651724,249.9190562,246.6177083,247.9006456,200,2,1025.991788,553.2939122,57.99178847,-43.92399592,TRUE,H01CBA05P,2021-04-25T15:36:35
1.002251398,1.013279937,247.1894272,249.9094418,246.6341556,247.9110082,200,2,1024.482155,556.1558773,56.48215502,-44.20796679,TRUE,H01CBA05P,2021-04-25T15:36:35
1.002251984,1.01316302,247.2479411,249.9396107,246.6923939,247.9599819,200,2,1023.51129,546.3755601,55.51129014,-42.86262603,TRUE,H01CBA05P,2021-04-25T15:36:35
1.002240918,1.013108644,247.1136172,249.7931756,246.561094,247.822629,200,2,1021.460803,543.0537013,53.4608034,-43.85934469,TRUE,H01CBA05P,2021-04-25T15:36:35
1.002230165,1.013000276,247.0967574,249.752095,246.5469171,247.7985898,200,2,1019.795724,540.7904873,51.79572365,-43.63528189,TRUE,H01CBA05P,2021-04-25T15:36:35
1.002207884,1.012877709,247.0847791,249.7153225,246.5404464,247.7801827,200,2,1018.803721,536.0371725,50.80372138,-45.16775682,TRUE,H01CBA05P,2021-04-25T15:36:35
1.002212327,1.012781689,247.0705861,249.6762001,246.5251918,247.757326,200,2,1018.646543,517.1466693,50.6465435,-45.73936639,TRUE,H01CBA05P,2021-04-25T15:36:35
1.002200706,1.012637075,247.1071844,249.6804232,246.5645682,247.7840586,200,2,1018.08129,530.0688369,50.08128991,-45.29445005,TRUE,H01CBA05P,2021-04-25T15:36:35
1.002203676,1.012581218,246.997597,249.5551887,246.4544911,247.6690923,200,2,1017.55376,512.6894165,49.55376035,-46.59324972,TRUE,H01CBA05P,2021-04-25T15:36:35
1.002208828,1.012451936,247.0819123,249.607221,246.5373536,247.7421623,200,2,1019.094678,509.0957389,51.09467755,-47.39807077,TRUE,H01CBA05P,2021-04-25T15:36:35
1.002225056,1.012397333,247.0316582,249.5389538,246.4832192,247.6846104,200,2,1018.24953,509.2135424,50.24953022,-48.51865282,TRUE,H01CBA05P,2021-04-25T15:36:35
1.002241957,1.012316925,247.0466121,249.5300309,246.493983,247.6902087,200,2,1020.293045,508.3319577,52.29304534,-49.42389699,TRUE,H01CBA05P,2021-04-25T15:36:35
1.002205866,1.01228203,246.8828856,249.3650428,246.3394937,247.5291407,200,2,1019.916028,508.3806929,51.91602769,-49.14652892,TRUE,H01CBA05P,2021-04-25T15:36:35
1.002212693,1.012176492,246.9898886,249.4454127,246.4445823,247.6266279,200,2,1020.826334,511.2583083,52.82633376,-51.10857479,TRUE,H01CBA05P,2021-04-25T15:36:35
1.002216474,1.01205988,247.0423626,249.4687228,246.4960105,247.669032,200,2,1023.196238,511.6482048,55.19623834,-54.24764447,TRUE,H01CBA05P,2021-04-25T15:36:35
